挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
头疼	頭疼	toú téng	headache;  	[sound:cmn-头疼.mp3]
投票	投票	toú piào	to vote; vote;  	[sound:cmn-投票.mp3]
透露	透露	toù lù	to leak out; to divulge; to reveal;  	[sound:cmn-透露.mp3]
图书	圖書	tú shū	books (in a library or bookstore); CL:本[ben3],冊|册[ce4],部[bu4];  	[sound:cmn-图书.mp3]
徒弟	徒弟	tú dì	apprentice; disciple;  	[sound:cmn-徒弟.mp3]
途径	途徑	tú jìng	way; channel;  	[sound:cmn-途径.mp3]
土	土	Tǔ, tǔ	Tu (ethnic group); surname Tu;  earth; dust; clay; local; indigenous; crude opium; unsophisticated; one of the eight ancient musical instruments 八音[ba1 yin1];  	[sound:cmn-土.mp3]
团队	團隊	tuán duì	team;  	[sound:cmn-团队.mp3]
推出	推齣	tuī chū	to push out; to release; to launch; to publish; to recommend;  	[sound:cmn-推出.mp3]
退票	退票	tuì piào	to bounce (a check); to return a ticket; ticket refund;  	[sound:cmn-退票.mp3]
吞	吞	tūn	to swallow; to take;  	[sound:cmn-吞.mp3]
托	托	tuō, tuō	to trust; to entrust; to be entrusted with; to act as trustee;  	[sound:cmn-托.mp3]
拖	拖	tuō, tuō	to drag; to tow; to trail; to hang down; to mop (the floor); to delay; to drag on;  	[sound:cmn-拖.mp3]
拖鞋	拖鞋	tuō xié	slippers; sandals; flip-flops; CL:雙|双[shuang1],隻|只[zhi1];  	[sound:cmn-拖鞋.mp3]
挖	挖	wā	to dig; to excavate; to scoop out;  	[sound:cmn-挖.mp3]
娃娃	娃娃	wá wa	baby; small child; doll;  	[sound:cmn-娃娃.mp3]
哇	哇	wā, wa	Wow!; sound of child's crying; sound of vomiting;  replaces 啊[a5] when following the vowel 'u' or 'ao';  	[sound:cmn-哇.mp3]
外币	外幣	wài bì	foreign currency;  	[sound:cmn-外币.mp3]
外部	外部	wài bù	external part; external;  	[sound:cmn-外部.mp3]
外出	外齣	wài chū	to go out; to go away (on a trip etc);  	[sound:cmn-外出.mp3]
外观	外觀	wài guān	exterior appearance; to view sth from the outside; exterior condition;  	[sound:cmn-外观.mp3]
外科	外科	wài kē	surgery (branch of medicine);  	[sound:cmn-外科.mp3]
外来	外來	wài lái	external; foreign; outside;  	[sound:cmn-外来.mp3]
外头	外頭	wài tou	outside; out;  	[sound:cmn-外头.mp3]
外衣	外衣	wài yī	outer clothing; semblance; appearance;  	[sound:cmn-外衣.mp3]
外资	外資	wài zī	foreign investment;  	[sound:cmn-外资.mp3]
弯曲	彎麯	wān qū	to bend; to curve around; curved; crooked; to wind; to warp;  	[sound:cmn-弯曲.mp3]
顽皮	頑皮	wán pí	naughty;  	[sound:cmn-顽皮.mp3]
顽强	頑強	wán qiáng	tenacious; hard to defeat;  	[sound:cmn-顽强.mp3]
王后	王後	wáng hoù	queen; CL:個|个[ge4],位[wei4];  	[sound:cmn-王后.mp3]
王子	王子	wáng zǐ	prince; son of a king;  	[sound:cmn-王子.mp3]
网吧	網吧	wǎng bā	Internet café;  	[sound:cmn-网吧.mp3]
网页	網頁	wǎng yè	web page;  	[sound:cmn-网页.mp3]
往后	往後	wǎng hoù	from now on; in the future; time to come;  	[sound:cmn-往后.mp3]
往来	往來	wǎng lái	dealings; contacts; to go back and forth;  	[sound:cmn-往来.mp3]
往年	往年	wǎng nián	in former years; in previous years;  	[sound:cmn-往年.mp3]
望见	望見	wàng jiàn	to espy; to spot;  	[sound:cmn-望见.mp3]
危机	危機	wēi jī	crisis; CL:個|个[ge4];  	[sound:cmn-危机.mp3]
威胁	威脅	wēi xié	to threaten; to menace;  	[sound:cmn-威胁.mp3]
微波炉	微波爐	wēi bō lú	microwave oven; CL:臺|台[tai2];  	[sound:cmn-微波炉.mp3]
维生素	維生素	wéi shēng sù	vitamin;  	[sound:cmn-维生素.mp3]
为此	為此	wèi cǐ	for this reason; with regards to this; in this respect; in order to do this; to this end;  	[sound:cmn-为此.mp3]
为何	為何	wèi hé	why;  	[sound:cmn-为何.mp3]
文娱	文娛	wén yú	cultural recreation; entertainment;  	[sound:cmn-文娱.mp3]
卧铺	臥鋪	wò pù	a bed (on a train); a couchette;  	[sound:cmn-卧铺.mp3]
乌云	烏雲	wū yún	black cloud;  	[sound:cmn-乌云.mp3]
无边	無邊	wú biān	without boundary; not bordered;  	[sound:cmn-无边.mp3]
无关	無關	wú guān	unrelated; having nothing to do (with sth else);  	[sound:cmn-无关.mp3]
无效	無效	wú xiào	not valid; ineffective; in vain;  	[sound:cmn-无效.mp3]
舞蹈	舞蹈	wǔ dǎo	dance (performance art); dancing;  	[sound:cmn-舞蹈.mp3]
物品	物品	wù pǐn	articles; goods; materials;  	[sound:cmn-物品.mp3]
误	誤	wù	mistake; error; to miss; to harm; to delay; to neglect; mistakenly;  	[sound:cmn-误.mp3]
西班牙语	西班牙語	Xī bān yá yǔ	Spanish language;  	[sound:cmn-西班牙语.mp3]
吸毒	吸毒	xī dú	to take drugs;  	[sound:cmn-吸毒.mp3]
牺牲	犧牲	xī shēng	to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice;  	[sound:cmn-牺牲.mp3]
洗衣粉	洗衣粉	xǐ yī fěn	laundry detergent; washing powder;  	[sound:cmn-洗衣粉.mp3]
戏曲	戲麯	xì qǔ	Chinese opera;  	[sound:cmn-戏曲.mp3]
细胞	細胞	xì bāo	cell (biology);  	[sound:cmn-细胞.mp3]
细菌	細菌	xì jūn	bacterium; germ;  	[sound:cmn-细菌.mp3]
先锋	先鋒	xiān fēng	vanguard; pioneer;  	[sound:cmn-先锋.mp3]
嫌	嫌	xián	to dislike; suspicion; resentment; enmity; abbr. for 嫌犯[xian2 fan4], criminal suspect;  	[sound:cmn-嫌.mp3]
显出	顯齣	xiǎn chū	to express; to exhibit;  	[sound:cmn-显出.mp3]
险	險	xiǎn	danger; dangerous; rugged;  	[sound:cmn-险.mp3]
线路	綫路	xiàn lù	line; circuit; wire; road; railway track; bus route;  	[sound:cmn-线路.mp3]
陷入	陷入	xiàn rù	to sink into; to get caught up in; to land in (a predicament);  	[sound:cmn-陷入.mp3]
响声	響聲	xiǎng shēng	noise;  	[sound:cmn-响声.mp3]
想不到	想不到	xiǎng bu dào	unexpected; hard to imagine; it had not occurred to me; who could have thought that;  	[sound:cmn-想不到.mp3]
消耗	消耗	xiāo hào	to use up; to consume;  	[sound:cmn-消耗.mp3]
消灭	消滅	xiāo miè	to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory);  	[sound:cmn-消灭.mp3]
小费	小費	xiǎo fèi	tip; gratuity;  	[sound:cmn-小费.mp3]
小麦	小麥	xiǎo mài	wheat; CL:粒[li4];  	[sound:cmn-小麦.mp3]
小于	小於	xiǎo yú	less than, <;  	[sound:cmn-小于.mp3]
晓得	曉得	xiǎo de	to know;  	[sound:cmn-晓得.mp3]
笑脸	笑臉	xiào liǎn	smiling face; smiley :) ☺; CL:副[fu4];  	[sound:cmn-笑脸.mp3]
笑容	笑容	xiào róng	smile; smiling expression; CL:副[fu4];  	[sound:cmn-笑容.mp3]
笑声	笑聲	xiào shēng	laughter;  	[sound:cmn-笑声.mp3]
协会	協會	xié huì	an association; a society; CL:個|个[ge4],家[jia1];  	[sound:cmn-协会.mp3]
协商	協商	xié shāng	to consult with; to talk things over; agreement;  	[sound:cmn-协商.mp3]
协调	協調	xié tiáo	to coordinate; to harmonize; to fit together; to match (colors etc); harmonious; concerted;  	[sound:cmn-协调.mp3]
协助	協助	xié zhù	to provide assistance; to aid;  	[sound:cmn-协助.mp3]
写字楼	寫字樓	xiě zì loú	office building;  	[sound:cmn-写字楼.mp3]
写字台	寫字颱	xiě zì tái	writing desk;  	[sound:cmn-写字台.mp3]
心灵	心靈	xīn líng	bright; smart; quick-witted; heart; thoughts; spirit;  	[sound:cmn-心灵.mp3]
心愿	心願	xīn yuàn	cherished desire; dream; craving; wish; aspiration;  	[sound:cmn-心愿.mp3]
心脏	心髒	xīn zàng	heart; CL:顆|颗[ke1],個|个[ge4];  	[sound:cmn-心脏.mp3]
心脏病	心髒病	xīn zàng bìng	heart disease;  	[sound:cmn-心脏病.mp3]
新人	新人	xīn rén	new age person; new type of person; newly-wed, esp. new bride; bride and groom;  	[sound:cmn-新人.mp3]
新兴	新興	Xīn xīng, xīn xīng	Xinxing county in Yunfu 雲浮|云浮[Yun2 fu2], Guangdong; Xinxing or Hsinhsing district of Kaohsiung city 高雄市[Gao1 xiong2 shi4], south Taiwan;  new; up-and-coming; newly developing; rising;  	[sound:cmn-新兴.mp3]
薪水	薪水	xīn shuǐ	salary; wage;  	[sound:cmn-薪水.mp3]
信仰	信仰	xìn yǎng	to believe in (a religion); firm belief; conviction;  	[sound:cmn-信仰.mp3]
信用	信用	xìn yòng	to trust; credit (commerce); trustworthiness; creditworthiness;  	[sound:cmn-信用.mp3]
兴旺	興旺	xīng wàng	prosperous; thriving; to prosper; to flourish;  	[sound:cmn-兴旺.mp3]
行程	行程	xíng chéng	journey; course of a journey; distance traveled; trajectory; itinerary; route; course (of history);  	[sound:cmn-行程.mp3]
形	形	xíng	to appear; to look; form; shape;  	[sound:cmn-形.mp3]
凶	凶	xiōng, xiōng	vicious; fierce; ominous; inauspicious; famine; variant of 兇|凶[xiong1];  	[sound:cmn-凶.mp3]
凶手	凶手	xiōng shoǔ	murderer; assassin;  	[sound:cmn-凶手.mp3]
修车	修車	xiū chē	to repair a bike (car etc);  	[sound:cmn-修车.mp3]
袖珍	袖珍	xiù zhēn	pocket-sized; pocket (book etc);  	[sound:cmn-袖珍.mp3]
悬	懸	xuán	to hang or suspend; to worry; public announcement; unresolved; baseless; without foundation;  	[sound:cmn-悬.mp3]
旋转	鏇轉	xuán zhuǎn	to rotate; to revolve; to spin; to whirl;  	[sound:cmn-旋转.mp3]
选拔	選拔	xuǎn bá	to select the best;  	[sound:cmn-选拔.mp3]
选举	選舉	xuǎn jǔ	to elect; election; CL:次[ci4],個|个[ge4];  	[sound:cmn-选举.mp3]
学会	學會	xué huì	to learn; to master; institute; learned society; (scholarly) association;  	[sound:cmn-学会.mp3]
学员	學員	xué yuán	student; member of an institution of learning; officer cadet;  	[sound:cmn-学员.mp3]
血管	血管	xuè guǎn	vein; artery; CL:根[gen1];  	[sound:cmn-血管.mp3]
血液	血液	xuè yè	blood;  	[sound:cmn-血液.mp3]
循环	循環	xún huán	to cycle; to circulate; circle; loop;  	[sound:cmn-循环.mp3]
压迫	壓迫	yā pò	to oppress; to repress; to constrict; oppression; stress (physics);  	[sound:cmn-压迫.mp3]
烟花	煙花	yān huā	fireworks; prostitute (esp. in Yuan theater);  	[sound:cmn-烟花.mp3]
沿	沿	yán	along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge;  	[sound:cmn-沿.mp3]
沿海	沿海	yán hǎi	coastal;  	[sound:cmn-沿海.mp3]
沿着	沿著	yán zhe	to go along; to follow;  	[sound:cmn-沿着.mp3]
研发	研發	yán fā	research and development; to develop;  	[sound:cmn-研发.mp3]
眼看	眼看	yǎn kàn	soon; in a moment; to look on as sth happens;  	[sound:cmn-眼看.mp3]
演奏	演奏	yǎn zoù	to perform on a musical instrument;  	[sound:cmn-演奏.mp3]
宴会	宴會	yàn huì	banquet; feast; dinner party; CL:席[xi2],個|个[ge4];  	[sound:cmn-宴会.mp3]
洋	洋	yáng	ocean; vast; foreign; silver dollar or coin;  	[sound:cmn-洋.mp3]
仰	仰	Yǎng, yǎng	surname Yang;  to face upward; to look up; to admire; to rely on;  	[sound:cmn-仰.mp3]
养老	養老	yǎng lǎo	to provide for the elderly (family members); to enjoy a life in retirement;  	[sound:cmn-养老.mp3]
氧气	氧氣	yǎng qì	oxygen;  	[sound:cmn-氧气.mp3]
样	樣	yàng	manner; pattern; way; appearance; shape; classifier: kind, type;  	[sound:cmn-样.mp3]
药品	藥品	yào pǐn	medicaments; medicine; drug;  	[sound:cmn-药品.mp3]
要不然	要不然	yào bù rán	otherwise; or else; or;  	[sound:cmn-要不然.mp3]
要好	要好	yào hǎo	to be on good terms; to be close friends; striving for self-improvement;  	[sound:cmn-要好.mp3]
要么	要麼	yào me	or; either one or the other;  	[sound:cmn-要么.mp3]
要素	要素	yào sù	essential factor; key constituent;  	[sound:cmn-要素.mp3]
野	野	yě, yě, yě	field; plain; open space; limit; boundary; rude; feral;  	[sound:cmn-野.mp3]
野生	野生	yě shēng	wild; undomesticated;  	[sound:cmn-野生.mp3]
医药	醫藥	yī yào	medical care and medicines; medicine (drug); medical; pharmaceutical;  	[sound:cmn-医药.mp3]
依次	依次	yī cì	in order; in succession;  	[sound:cmn-依次.mp3]
依赖	依賴	yī lài	to depend on; to be dependent on;  	[sound:cmn-依赖.mp3]
一次性	一次性	yī cì xìng	one-off (offer); one-time; single-use; disposable (goods);  	[sound:cmn-一次性.mp3]
一代	一代	yī dài	generation;  	[sound:cmn-一代.mp3]
一道	一道	yī dào	together;  	[sound:cmn-一道.mp3]
一贯	一貫	yī guàn	consistent; constant; from start to finish; all along; persistent;  	[sound:cmn-一贯.mp3]
一路上	一路上	yīlùshàng	All the way	[sound:cmn-一路上.mp3]
仪器	儀器	yí qì	instrument; apparatus; CL:臺|台[tai2];  	[sound:cmn-仪器.mp3]
仪式	儀式	yí shì	ceremony;  	[sound:cmn-仪式.mp3]
遗憾	遺憾	yí hàn	regret; to regret; to be sorry that;  	[sound:cmn-遗憾.mp3]
一番	一番	yīfān	Some	[sound:cmn-一番.mp3]
一模一样	一模一樣	yī mú yī yàng	exactly the same (idiom); carbon copy; also pr. [yi1 mo2 yi1 yang4];  	[sound:cmn-一模一样.mp3]
一齐	一齊	yī qí	at the same time; simultaneously;  	[sound:cmn-一齐.mp3]
一时	一時	yī shí	a period of time; a while; for a short while; temporary; momentary; at the same time;  	[sound:cmn-一时.mp3]
一同	一同	yī tóng	along; together;  	[sound:cmn-一同.mp3]
一行	一行	yī xíng	party; delegation;  	[sound:cmn-一行.mp3]
艺人	藝人	yì rén	performing artist; actor;  	[sound:cmn-艺人.mp3]
议题	議題	yì tí	topic of discussion; topic; subject; issue (under discussion); CL:項|项[xiang4];  	[sound:cmn-议题.mp3]
异常	異常	yì cháng	exceptional; abnormal; an anomaly;  	[sound:cmn-异常.mp3]
意想不到	意想不到	yì xiǎng bù dào	unexpected; previously unimagined;  	[sound:cmn-意想不到.mp3]
意愿	意願	yì yuàn	aspiration; wish (for); desire;  	[sound:cmn-意愿.mp3]
因	因	yīn, yīn	cause; reason; because;  	[sound:cmn-因.mp3]
因素	因素	yīn sù	element; factor; CL:個|个[ge4];  	[sound:cmn-因素.mp3]
阴谋	陰謀	yīn moú	plot; conspiracy;  	[sound:cmn-阴谋.mp3]
阴影	陰影	yīn yǐng	(lit. and fig.) shadow;  	[sound:cmn-阴影.mp3]
音量	音量	yīn liàng	sound volume;  	[sound:cmn-音量.mp3]
音像	音像	yīn xiàng	audio and video; audiovisual;  	[sound:cmn-音像.mp3]
隐藏	隱藏	yǐn cáng	to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting);  	[sound:cmn-隐藏.mp3]
隐私	隱私	yǐn sī	secrets; private business; privacy;  	[sound:cmn-隐私.mp3]
印	印	Yìn, yìn	surname Yin; abbr. for 印度[Yin4 du4];  to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image;  	[sound:cmn-印.mp3]
英雄	英雄	yīng xióng	hero; CL:個|个[ge4];  	[sound:cmn-英雄.mp3]
迎来	迎來	yínglái	Ushered	[sound:cmn-迎来.mp3]
影迷	影迷	yǐng mí	film enthusiast; movie fan; CL:個|个[ge4];  	[sound:cmn-影迷.mp3]
影星	影星	yǐng xīng	film star;  	[sound:cmn-影星.mp3]
应对	應對	yìng duì	response; to answer; to reply;  	[sound:cmn-应对.mp3]
应急	應急	yìng jí	to respond to an emergency; to meet a contingency; (attributive) emergency;  	[sound:cmn-应急.mp3]
用处	用處	yòng chu	usefulness; CL:個|个[ge4];  	[sound:cmn-用处.mp3]
用得着	用得著	yòng de zháo	to be able to use; useable; to have a use for sth; (in interrogative sentence) to be necessary to;  	[sound:cmn-用得着.mp3]
用法	用法	yòng fǎ	usage;  	[sound:cmn-用法.mp3]
用品	用品	yòng pǐn	articles for use; products; goods;  	[sound:cmn-用品.mp3]
用心	用心	yòng xīn	motive; intention; to be diligent or attentive; careful;  	[sound:cmn-用心.mp3]
优质	優質	yoū zhì	excellent quality;  	[sound:cmn-优质.mp3]
游人	遊人	yoú rén	a tourist;  	[sound:cmn-游人.mp3]
游玩	遊玩	yoú wán	to amuse oneself; to have fun; to go sightseeing; to take a stroll;  	[sound:cmn-游玩.mp3]
游戏机	遊戲機	yoú xì jī	video game; game machine;  	[sound:cmn-游戏机.mp3]
游行	遊行	yoú xíng	march; parade; demonstration;  	[sound:cmn-游行.mp3]
有关	有關	yoǔ guān	to have sth to do with; to relate to; related to; to concern; concerning;  	[sound:cmn-有关.mp3]
有没有	有沒有	yǒuméiyǒu	Do you have	[sound:cmn-有没有.mp3]
有事	有事	yoǔ shì	to be occupied with sth; to have sth on one's mind; there is something the matter;  	[sound:cmn-有事.mp3]
于	於	Yú, yú, yú	surname Yu;  in; at; to; from; by; than; out of;  	[sound:cmn-于.mp3]
娱乐	娛樂	yú lè	to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy;  	[sound:cmn-娱乐.mp3]
愉快	愉快	yú kuài	cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted;  	[sound:cmn-愉快.mp3]
与	與	yú, yǔ, yù	variant of 歟|欤[yu2];  and; to give; together with;  to take part in;  	[sound:cmn-与.mp3]
宇航员	宇航員	yǔ háng yuán	astronaut;  	[sound:cmn-宇航员.mp3]
雨衣	雨衣	yǔ yī	raincoat; CL:件[jian4];  	[sound:cmn-雨衣.mp3]
预约	預約	yù yuē	booking; reservation; to book; to make an appointment;  	[sound:cmn-预约.mp3]
元素	元素	yuán sù	element; element of a set; chemical element;  	[sound:cmn-元素.mp3]
园	園	Yuán, yuán	surname Yuan;  land used for growing plants; site used for public recreation;  	[sound:cmn-园.mp3]
园地	園地	yuán dì	garden area;  	[sound:cmn-园地.mp3]
原	原	Yuán, yuán	Hara (Japanese surname);  former; original; primary; raw; level; cause; source;  	[sound:cmn-原.mp3]
原告	原告	yuán gào	complainant; plaintiff;  	[sound:cmn-原告.mp3]
原谅	原諒	yuán liàng	to excuse; to forgive; to pardon;  	[sound:cmn-原谅.mp3]
圆珠笔	圓珠筆	yuán zhū bǐ	ballpoint pen; CL:支[zhi1],枝[zhi1];  	[sound:cmn-圆珠笔.mp3]
援助	援助	yuán zhù	to help; to support; to aid; aid; assistance;  	[sound:cmn-援助.mp3]
缘故	緣故	yuán gù	reason; cause;  	[sound:cmn-缘故.mp3]
远方	遠方	yuǎn fāng	far away; a distant location;  	[sound:cmn-远方.mp3]
远离	遠離	yuǎn lí	to be far from; to keep away from;  	[sound:cmn-远离.mp3]
远远	遠遠	yuǎn yuǎn	distant;  	[sound:cmn-远远.mp3]
约定	約定	yuē dìng	to agree on sth (after discussion); to conclude a bargain; to arrange; to promise; to stipulate; to make an appointment; stipulated (time, amount, quality etc); an arrangement; a deal; appointment; undertaking; commitment; understanding; engagement; stipulation;  	[sound:cmn-约定.mp3]
乐曲	樂麯	yuè qǔ	musical composition;  	[sound:cmn-乐曲.mp3]
晕	暈	yūn, yùn	confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out;  dizzy; halo; ring around moon or sun;  	[sound:cmn-晕.mp3]
允许	允許	yǔn xǔ	to permit; to allow;  	[sound:cmn-允许.mp3]
运作	運作	yùn zuò	to operate; operations; workings; activities (usu. of an organization); thread (computing);  	[sound:cmn-运作.mp3]
晕车	暈車	yùn chē	to be carsick;  	[sound:cmn-晕车.mp3]
杂	雜	zá, zá	mixed; miscellaneous; various; to mix;  	[sound:cmn-杂.mp3]
再生	再生	zài shēng	to be reborn; to regenerate; to be a second so-and-so (famous dead person); recycling; regeneration;  	[sound:cmn-再生.mp3]
再说	再說	zài shuō	to say again; to put off a discussion until later; moreover; what's more; besides;  	[sound:cmn-再说.mp3]
遭到	遭到	zāo dào	to suffer; to meet with (sth unfortunate);  	[sound:cmn-遭到.mp3]
遭受	遭受	zāo shoù	to suffer; to sustain (loss, misfortune);  	[sound:cmn-遭受.mp3]
遭遇	遭遇	zāo yù	to meet with; to encounter; (bitter) experience;  	[sound:cmn-遭遇.mp3]
早晚	早晚	zǎo wǎn	morning and evening; sooner or later;  	[sound:cmn-早晚.mp3]
增进	增進	zēng jìn	to promote; to enhance; to further; to advance (a cause etc);  	[sound:cmn-增进.mp3]
增值	增值	zēng zhí	to appreciate (financially); to increase in value; value-added (accountancy);  	[sound:cmn-增值.mp3]
扎	紮	zhā, zhá, zā, zhā, zā	variant of 紮|扎[zha1];  penetrating (as of cold); struggle;  to tie; to bind; classifier for flowers, banknotes etc: bundle; Taiwan pr. [zha2];  	[sound:cmn-扎.mp3]
扎实	紮實	zhā shi, zhá shi	strong; solid; sturdy; firm; practical;  see 扎實|扎实[zha1 shi5];  	[sound:cmn-扎实.mp3]
炸	炸	zhá, zhà	to deep fry;  to explode;  	[sound:cmn-炸.mp3]
炸弹	炸彈	zhà dàn	bomb; CL:枚[mei2],顆|颗[ke1];  	[sound:cmn-炸弹.mp3]
炸药	炸藥	zhà yào	explosive (material);  	[sound:cmn-炸药.mp3]
债	債	zhài	debt; CL:筆|笔[bi3];  	[sound:cmn-债.mp3]
占据	占據	zhàn jù	to occupy; to hold;  	[sound:cmn-占据.mp3]
战场	戰場	zhàn chǎng	battlefield; CL:個|个[ge4];  	[sound:cmn-战场.mp3]
战略	戰略	zhàn lüè	strategy;  	[sound:cmn-战略.mp3]
战术	戰術	zhàn shù	tactics;  	[sound:cmn-战术.mp3]
战友	戰友	zhàn yoǔ	comrade-in-arms; battle companion;  	[sound:cmn-战友.mp3]
站台	站颱	zhàn tái	platform (at a railway station);  	[sound:cmn-站台.mp3]
章	章	Zhāng, zhāng	surname Zhang;  chapter; section; clause; movement (of symphony); seal; badge; regulation; order;  	[sound:cmn-章.mp3]
长	長	cháng, zhǎng	length; long; forever; always; constantly;  chief; head; elder; to grow; to develop; to increase; to enhance;  	[sound:cmn-长.mp3]
掌声	掌聲	zhǎng shēng	applause; CL:陣|阵[zhen4];  	[sound:cmn-掌声.mp3]
账	賬	zhàng	account; bill; debt; CL:本[ben3],筆|笔[bi3];  	[sound:cmn-账.mp3]
账户	賬戶	zhàng hù	bank account; online account;  	[sound:cmn-账户.mp3]
涨	漲	zhǎng, zhàng	to rise (of prices, rivers);  to swell; to distend;  	[sound:cmn-涨.mp3]
障碍	障礙	zhàng ài	barrier; obstruction; hindrance; impediment; obstacle;  	[sound:cmn-障碍.mp3]
招	招	zhāo	to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess;  	[sound:cmn-招.mp3]
招聘	招聘	zhāo pìn	to invite applications for a job; to recruit;  	[sound:cmn-招聘.mp3]
照样	照樣	zhào yàng	as before; (same) as usual; in the same manner; still; nevertheless;  	[sound:cmn-照样.mp3]
照耀	照耀	zhào yào	to shine; to illuminate;  	[sound:cmn-照耀.mp3]
哲学	哲學	zhé xué	philosophy; CL:個|个[ge4];  	[sound:cmn-哲学.mp3]
这就是说	這就是說	zhèjìushìshuō	This means that	[sound:cmn-这就是说.mp3]
镇	鎮	zhèn	to press down; to calm; to subdue; to suppress; to guard; garrison; small town; to cool or chill (food or drinks);  	[sound:cmn-镇.mp3]
争夺	爭奪	zhēng duó	to fight over; to contest; to vie over;  	[sound:cmn-争夺.mp3]
整顿	整頓	zhěng dùn	to tidy up; to reorganize; to consolidate; to rectify;  	[sound:cmn-整顿.mp3]
整治	整治	zhěng zhì	to bring under control; to regulate; to restore to good condition; (coll.) to fix (a person); to prepare (a meal etc);  	[sound:cmn-整治.mp3]
正当	正當	zhèng dāng, zhèng dàng	timely; just (when needed);  honest; reasonable; fair; sensible;  	[sound:cmn-正当.mp3]
政策	政策	zhèng cè	policy; CL:個|个[ge4];  	[sound:cmn-政策.mp3]
政党	政黨	zhèng dǎng	political party; CL:個|个[ge4];  	[sound:cmn-政党.mp3]
政权	政權	zhèng quán	regime; political power;  	[sound:cmn-政权.mp3]
症状	癥狀	zhèng zhuàng	symptom (of an illness);  	[sound:cmn-症状.mp3]
之类	之類	zhī lèi	and so on; and such;  	[sound:cmn-之类.mp3]
支撑	支撐	zhī chēng	to prop up; to support; strut; brace;  	[sound:cmn-支撑.mp3]
支援	支援	zhī yuán	to provide assistance; to support; to back;  	[sound:cmn-支援.mp3]
枝	枝	zhī	branch; classifier for sticks, rods, pencils etc;  	[sound:cmn-枝.mp3]
知名	知名	zhī míng	well-known; famous;  	[sound:cmn-知名.mp3]
织	織	zhī	to weave; to knit;  	[sound:cmn-织.mp3]
直升机	直升機	zhí shēng jī	helicopter; CL:架[jia4];  	[sound:cmn-直升机.mp3]
职责	職責	zhí zé	duty; responsibility; obligation;  	[sound:cmn-职责.mp3]
止	止	zhǐ	to stop; to prohibit; until; only;  	[sound:cmn-止.mp3]
只得	隻得	zhǐ dé	to have no alternative but to; to be obliged to;  	[sound:cmn-只得.mp3]
只顾	隻顧	zhǐ gù	solely preoccupied (with one thing); engrossed; focusing (on sth); to look after only one aspect;  	[sound:cmn-只顾.mp3]
只管	隻管	zhǐ guǎn	solely engrossed in one thing; just (one thing, no need to worry about the rest); simply; by all means; please feel free; do not hesitate (to ask for sth);  	[sound:cmn-只管.mp3]
指定	指定	zhǐ dìng	to appoint; to assign; to indicate clearly and with certainty; designated;  	[sound:cmn-指定.mp3]
指数	指數	zhǐ shù	(numerical, statistical) index; (math.) exponent; index; exponential (function, growth);  	[sound:cmn-指数.mp3]
指头	指頭	zhǐ tou	finger; toe; CL:個|个[ge4];  	[sound:cmn-指头.mp3]
指着	指著	zhǐzháo	Poke	[sound:cmn-指着.mp3]
至于	至於	zhì yú	as for; as to; to go so far as to;  	[sound:cmn-至于.mp3]
治病	治病	zhì bìng	to treat an illness;  	[sound:cmn-治病.mp3]
智慧	智慧	zhì huì	wisdom; knowledge; intelligent; intelligence;  	[sound:cmn-智慧.mp3]
中等	中等	zhōng děng	medium;  	[sound:cmn-中等.mp3]
中华	中華	Zhōng huá	China (alternate formal name);  	[sound:cmn-中华.mp3]
中期	中期	zhōng qī	middle (of a period of time); medium-term (plan, forecast etc);  	[sound:cmn-中期.mp3]
中外	中外	zhōng wài	Sino-foreign; Chinese-foreign; home and abroad;  	[sound:cmn-中外.mp3]
忠心	忠心	zhōng xīn	good faith; devotion; loyalty; dedication;  	[sound:cmn-忠心.mp3]
钟头	鍾頭	zhōng toú	hour; CL:個|个[ge4];  	[sound:cmn-钟头.mp3]
肿	腫	zhǒng	to swell; swelling; swollen;  	[sound:cmn-肿.mp3]
种种	種種	zhǒng zhǒng	all kinds of;  	[sound:cmn-种种.mp3]
粥	粥	yù, zhoū	see 葷粥|荤粥[Xun1 yu4];  congee; gruel; porridge; CL:碗[wan3];  	[sound:cmn-粥.mp3]
珠宝	珠寶	zhū bǎo	pearls; jewels; precious stones;  	[sound:cmn-珠宝.mp3]
诸位	諸位	zhū wèi	(pron) everyone; Ladies and Gentlemen; Sirs;  	[sound:cmn-诸位.mp3]
主持人	主持人	zhǔ chí rén	TV or radio presenter; host; anchor;  	[sound:cmn-主持人.mp3]
主角	主角	zhǔ jué	leading role; lead;  	[sound:cmn-主角.mp3]
