挨著	挨着	āizhe	near	[sound:cmn-挨着.mp3]
撤銷	撤销	chèxiāo	cancel, rescind, revoke	[sound:cmn-撤销.mp3]
撤離	撤离	chèlí	to withdraw from, to evacuate	[sound:cmn-撤离.mp3]
撐	撑	chēng	prop up, brace, push/move with a pole, maintain, keep up	[sound:cmn-撑.mp3]
成分	成分	chéngfen	constitution, class/economic status, composition, economic status, component_part, ingredient, one's profession or economic status, profession, component part, grammatical constituent, class, constituent, one's class status, class status, element, component, metal	[sound:cmn-成分.mp3]
成品	成品	chéngpǐn	end, end product, turnoff, end/finished product, finished product, facture	[sound:cmn-成品.mp3]
承諾	承诺	chéngnuò	promise	[sound:cmn-承诺.mp3]
城區	城区	chéngqū	city district, urban area	[sound:cmn-城区.mp3]
城鄉	城乡	chéngxiāng	urban and rural, town and country	[sound:cmn-城乡.mp3]
城鎮	城镇	chéngzhèn	cities and towns	[sound:cmn-城镇.mp3]
成	成	chéng	become, turn into	[sound:cmn-成.mp3]
衝擊	冲击	chōngjī	lash, pound, charge, assault	[sound:cmn-冲击.mp3]
持有	持有	chíyǒu	boast, take, possess, hold, carry	[sound:cmn-持有.mp3]
重建	重建	chóngjiàn	to rebuild, to reestablish, reconstruction, rebuilding	[sound:cmn-重建.mp3]
寵物	宠物	chǒngwù	pet	[sound:cmn-宠物.mp3]
崇拜	崇拜	chóngbài	worship, adore	[sound:cmn-崇拜.mp3]
重組	重组	chóngzǔ	to reorganize, to recombine, recombination	[sound:cmn-重组.mp3]
沖	冲	chōng	charge, rush, dash	[sound:cmn-冲.mp3]
出場	出场	chū chǎng	to appear (on stage, in a show, in a photo etc), to play (for a team), to enter (arena or stage), to send sb out (e.g. off the field for a foul)	[sound:cmn-出场.mp3]
出動	出动	chūdòng	to start out on a trip, to dispatch troops	[sound:cmn-出动.mp3]
出訪	出访	chūfǎng	to travel on business, to visit (a foreign country), same as 外出訪問|外出访问[wai4 chu1 fang3 wen4]	[sound:cmn-出访.mp3]
出路	出路	chūlù	way out, outlet, employment opportunities	[sound:cmn-出路.mp3]
出面	出面	chū miàn	act in one's own capacity or on behalf o, act in one's own capacity or on behalf of an organization, act in one's own capacity or on behalf of an organ, appear personally	[sound:cmn-出面.mp3]
出入	出入	chūrù	come in and go out	[sound:cmn-出入.mp3]
出事	出事	chū shì	to have an accident, to meet with a mishap	[sound:cmn-出事.mp3]
出名	出名	chū míng	lend one's name, out, fame, become well-known, become famous, famous, use the name of, be famous, well-known	[sound:cmn-出名.mp3]
出臺	出台	chū tái	to officially launch (a policy, program etc), to appear on stage, to appear publicly, (of a bar girl) to leave with a client	[sound:cmn-出台.mp3]
初等	初等	chūděng	elementary (i.e. easy)	[sound:cmn-初等.mp3]
除	除	chú	except	[sound:cmn-除.mp3]
出行	出行	chūxíng	to set out on a long journey, to travel afar	[sound:cmn-出行.mp3]
廚師	厨师	chúshī	cook, chef	[sound:cmn-厨师.mp3]
儲存	储存	chǔcún	lay in/up, store, stockpile	[sound:cmn-储存.mp3]
處處	处处	chùchù	everywhere, in all respects	[sound:cmn-处处.mp3]
處長	处长	chùzhǎng	department, section chief, commissioner, department/office head, department head, head of a department, office head	[sound:cmn-处长.mp3]
傳輸	传输	chuánshū	transmission, transmit	[sound:cmn-传输.mp3]
傳媒	传媒	chuánméi	media	[sound:cmn-传媒.mp3]
傳言	传言	chuányán	rumor, hearsay	[sound:cmn-传言.mp3]
傳出	传出	chuánchū	to transmit outwards, to disseminate, efferent (nerve)	[sound:cmn-传出.mp3]
船員	船员	chuányuán	crew, sailorman, sailor, shipmate, crewman, tarpaulin, old salt, seaman, bargeman, tar, boatman, Jack-tar, mariner, sea dog, gob, waister, seafarer	[sound:cmn-船员.mp3]
船隻	船只	chuánzhī	boat, watercraft, marine, ship, vessel	[sound:cmn-船只.mp3]
船長	船长	chuánzhǎng	captain (of a boat), skipper	[sound:cmn-船长.mp3]
串	串	chuàn	to string together, to skewer, to connect wrongly, to gang up, to rove, string, bunch, skewer, classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of, to make a swift or abrupt linear movement (like a bead on an abacus), to move across	[sound:cmn-串.mp3]
窗口	窗口	chuāngkǒu	window, wicket, ticket window	[sound:cmn-窗口.mp3]
創建	创建	chuàngjiàn	to found, to establish	[sound:cmn-创建.mp3]
創意	创意	chuàngyì	create new meanings, get-up-and-go, unique idea, new idea	[sound:cmn-创意.mp3]
創辦	创办	chuàngbàn	found, launch, establishment, set up, establish	[sound:cmn-创办.mp3]
此處	此处	cǐchù	this place, here (literary)	[sound:cmn-此处.mp3]
此前	此前	cǐqián	before this, before then, previously	[sound:cmn-此前.mp3]
此次	此次	cǐcì	this time	[sound:cmn-此次.mp3]
此事	此事	cǐshì	This matter	[sound:cmn-此事.mp3]
