避暑	避暑	bì shǔ	to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke;  	[sound:cmn-避暑.mp3]
边疆	邊疆	biān jiāng	border area; borderland; frontier; frontier region;  	[sound:cmn-边疆.mp3]
边界	邊界	biān jiè	boundary; border;  	[sound:cmn-边界.mp3]
边远	邊遠	biān yuǎn	far from the center; remote; outlying;  	[sound:cmn-边远.mp3]
编号	編號	biān hào	to number; numbering; serial number;  	[sound:cmn-编号.mp3]
编剧	編劇	biān jù	to write a play; scenario; dramatist; screenwriter;  	[sound:cmn-编剧.mp3]
编排	編排	biān pái	to arrange; to lay out;  	[sound:cmn-编排.mp3]
编写	編寫	biān xiě	to compile;  	[sound:cmn-编写.mp3]
编造	編造	biān zào	to compile; to draw up; to fabricate; to invent; to concoct; to make up; to cook up;  	[sound:cmn-编造.mp3]
鞭策	鞭策	biān cè	to spur on; to urge on; to encourage sb (e.g. to make progress);  	[sound:cmn-鞭策.mp3]
鞭炮	鞭炮	biān pào	firecrackers; string of small firecrackers; CL:枚[mei2];  	[sound:cmn-鞭炮.mp3]
贬值	貶值	biǎn zhí	to become devaluated; to devaluate; to depreciate;  	[sound:cmn-贬值.mp3]
变革	變革	biàn gé	to transform; to change;  	[sound:cmn-变革.mp3]
变幻莫测	變幻莫測	biàn huàn mò cè	to change unpredictably; unpredictable; erratic; treacherous;  	[sound:cmn-变幻莫测.mp3]
变迁	變遷	biàn qiān	changes; vicissitudes;  	[sound:cmn-变迁.mp3]
变异	變異	biàn yì	variation;  	[sound:cmn-变异.mp3]
变质	變質	biàn zhì	to degenerate; to go bad; to deteriorate; metamorphosis;  	[sound:cmn-变质.mp3]
便道	便道	biàn dào	pavement; sidewalk; shortcut; makeshift road;  	[sound:cmn-便道.mp3]
便饭	便飯	biàn fàn	an ordinary meal; simple home cooking;  	[sound:cmn-便饭.mp3]
便捷	便捷	biàn jié	convenient and fast;  	[sound:cmn-便捷.mp3]
便利店	便利店	biàn lì diàn	convenience store;  	[sound:cmn-便利店.mp3]
遍布	遍布	biàn bù	to cover the whole (area); to be found throughout;  	[sound:cmn-遍布.mp3]
辨别	辨彆	biàn bié	to differentiate; to distinguish; to discriminate;  	[sound:cmn-辨别.mp3]
辨认	辨認	biàn rèn	to recognize; to identify;  	[sound:cmn-辨认.mp3]
辩	辯	biàn	to dispute; to debate; to argue; to discuss;  	[sound:cmn-辩.mp3]
辩护	辯護	biàn hù	to speak in defense of; to argue in favor of; to defend; to plead;  	[sound:cmn-辩护.mp3]
辩解	辯解	biàn jiě	to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself;  	[sound:cmn-辩解.mp3]
辫子	辮子	biàn zi	plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2];  	[sound:cmn-辫子.mp3]
标	標	biāo	mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units;  	[sound:cmn-标.mp3]
标榜	標榜	biāo bǎng	to flaunt; to advertise; to parade; boost; excessive praise;  	[sound:cmn-标榜.mp3]
标本	標本	biāo běn	specimen; sample; the root cause and symptoms of a disease;  	[sound:cmn-标本.mp3]
标签	標簽	biāo qiān	label; tag; tab (of a window) (computing);  	[sound:cmn-标签.mp3]
标示	標示	biāo shì	to indicate;  	[sound:cmn-标示.mp3]
标语	標語	biāo yǔ	written slogan; placard; CL:幅[fu2],張|张[zhang1],條|条[tiao2];  	[sound:cmn-标语.mp3]
标致	標緻	Biāo zhì, biāo zhi	Peugeot;  beautiful (of woman); pretty;  	[sound:cmn-标致.mp3]
飙升	飆升	biāo shēng	to rise rapidly; to soar;  	[sound:cmn-飙升.mp3]
表白	錶白	biǎo bái	to explain oneself; to express; to reveal one's thoughts or feelings; declaration; confession;  	[sound:cmn-表白.mp3]
表决	錶決	biǎo jué	to decide by vote; to vote;  	[sound:cmn-表决.mp3]
表述	錶述	biǎo shù	to formulate; enunciation; to explain sth precisely;  	[sound:cmn-表述.mp3]
表率	錶率	biǎo shuài	example; model;  	[sound:cmn-表率.mp3]
表态	錶態	biǎo tài	to declare one's position; to say where one stands;  	[sound:cmn-表态.mp3]
表彰	錶彰	biǎo zhāng	to honor; to commend; to cite (in dispatches);  	[sound:cmn-表彰.mp3]
憋	憋	biē	to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath);  	[sound:cmn-憋.mp3]
别具匠心	彆具匠心	biéjùjiàngxīn	Unique	[sound:cmn-别具匠心.mp3]
别看	彆看	biékàn	Don't look at	[sound:cmn-别看.mp3]
别墅	彆墅	bié shù	villa; CL:幢[zhuang4],座[zuo4];  	[sound:cmn-别墅.mp3]
